20240525	13:29:44	d7e3f60f-f01b-48f5-8dc4-4004f678ce2f	/new-page	GET
20240525	13:29:44	79221b23-3fea-43af-8027-240c9da26f27	/css/style.css	GET
20240525	13:29:44	590b7ea8-6410-49b8-bcce-d41ffd3a96e9	/img/img1.jpg	GET
20240525	13:30:33	10b18006-da07-4c2b-8f63-6988519d7226	/new-page	GET
20240525	13:30:38	d5b4732d-abe6-4ec1-b10f-23b3a2283ee9	/new-page	GET
20240525	13:30:38	d30b8e38-5d78-4c6f-9316-11d2eec367b8	/css/style.css	GET
20240525	13:30:38	5b7e850e-3e33-4120-8d15-91d317be6553	/img/img1.jpg	GET
20240525	14:11:41	553f52cb-5ceb-44f2-96fc-5ce0db9def19	/index	GET
20240525	14:11:41	bff6051b-2f1a-467c-8542-7a7cc9d110ed	/css/style.css	GET
20240525	14:11:53	d446b321-e708-44ee-93d6-e924a261ef01	/index	GET
20240525	14:11:53	8700a0a9-9885-475c-b0ab-6152edeee81e	/css/style.css	GET
    20240527	13:16:04	9712f33e-fde3-419d-bb0d-e8796ba5c580	OPTIONS	https://www.google.fr	/
20240527	13:16:04	0a0a15b3-1575-4c22-9479-6ca4dea6196f	GET	https://www.google.fr	/
20240529	11:40:13	510a3ffc-8073-4ed5-a848-53c86216a9d4	OPTIONS	https://www.google.fr	/
20240529	11:40:13	be656d1d-b5e5-44b2-8eea-738fe5e3226b	GET	https://www.google.fr	/
20240529	11:40:21	01e6d552-db0d-4f1b-92d5-de5ccdd9ae4d	OPTIONS	https://www.google.fr	/
20240529	11:40:21	31395cb2-995f-47b0-aec9-a12bea3ec016	GET	https://www.google.fr	/
20240529	11:49:25	ca718bc4-2834-4cb1-a37f-8e9d3ae0f905	OPTIONS	https://www.google.fr	/
20240529	11:49:25	ee71ac3c-70f3-42f8-a780-732d72f2a862	GET	https://www.google.fr	/
20240529	11:50:05	d6f5030c-294b-4fbc-b2ec-8a65e13bcb31	OPTIONS	https://www.google.fr	/
20240529	11:50:05	eccc3276-46aa-4366-b1b2-e6cb16909aa0	GET	https://www.google.fr	/
20240529	11:51:54	c685641e-a9a0-40cf-922b-ceaf9f75bf8a	OPTIONS	https://www.google.fr	/
20240529	11:51:54	0575c1bb-19fe-4ccc-97b8-47d832cf22b3	GET	https://www.google.fr	/
